Mehdi	Time			Temp	SetPoint						
PID_out	944	57,8	-2	470	450	100	10	100			
PID_out	945	57,9	-3	470	450	100	10	100			
PID_out	946	58	-3	469	450	100	10	100			
PID_out	947	58,1	-4	469	450	100	10	100			
PID_out	948	58,2	-3	468	450	100	10	100			
PID_out	949	58,3	-2	467	450	100	10	100			
PID_out	950	58,4	-3	467	450	100	10	100			
PID_out	951	58,5	-4	467	450	100	10	100			
PID_out	952	58,6	-3	466	450	100	10	100			
PID_out	953	58,7	-3	465	450	100	10	100			
PID_out	954	58,8	-3	465	450	100	10	100			
PID_out	955	58,9	-3	464	450	100	10	100			
PID_out	956	59	-3	464	450	100	10	100			
PID_out	957	59,1	-3	463	450	100	10	100			
PID_out	958	59,2	-2	462	450	100	10	100			
PID_out	959	59,3	-2	462	450	100	10	100			
PID_out	960	59,4	-3	462	450	100	10	100			
PID_out	961	59,5	-2	461	450	100	10	100			
PID_out	962	59,6	-3	461	450	100	10	100			
PID_out	963	59,7	-2	460	450	100	10	100			
PID_out	964	59,8	-2	460	450	100	10	100			
PID_out	965	59,9	-3	460	450	100	10	100			
PID_out	966	60	-2	459	450	100	10	100			
PID_out	967	60,1	-2	459	450	100	10	100			
PID_out	968	60,2	-1	458	450	100	10	100			
PID_out	969	60,3	-1	458	450	100	10	100			
PID_out	970	60,4	-2	458	450	100	10	100			
PID_out	971	60,5	-1	457	450	100	10	100			
PID_out	972	60,6	-1	457	450	100	10	100			
PID_out	973	60,7	-1	457	450	100	10	100			
PID_out	974	60,8	-2	457	450	100	10	100			
PID_out	975	60,9	-2	457	450	100	10	100			
PID_out	976	61	-1	456	450	100	10	100			
PID_out	977	61,1	-1	456	450	100	10	100			
PID_out	978	61,2	-2	456	450	100	10	100			
PID_out	979	61,3	0	455	450	100	10	100			
PID_out	980	61,4	-1	455	450	100	10	100			
PID_out	981	61,5	-1	455	450	100	10	100			
PID_out	982	61,6	-1	455	450	100	10	100			
PID_out	983	61,7	-1	455	450	100	10	100			
PID_out	984	61,8	-2	455	450	100	10	100			
PID_out	985	61,9	0	454	450	100	10	100			
PID_out	986	62	-1	454	450	100	10	100			
PID_out	987	62,1	-1	454	450	100	10	100			
PID_out	988	62,2	-1	454	450	100	10	100			
PID_out	989	62,3	-1	454	450	100	10	100			
PID_out	990	62,4	-1	454	450	100	10	100			
PID_out	991	62,5	0	453	450	100	10	100			
PID_out	992	62,6	0	453	450	100	10	100			
PID_out	993	62,7	0	453	450	100	10	100			
PID_out	994	62,8	-1	453	450	100	10	100			
PID_out	995	62,9	-1	453	450	100	10	100			
PID_out	996	63	-1	453	450	100	10	100			
PID_out	997	63,1	-1	453	450	100	10	100			
PID_out	998	63,2	-1	453	450	100	10	100			
PID_out	999	63,3	0	452	450	100	10	100			
PID_out	1000	63,4	0	452	450	100	10	100			
PID_out	1001	63,5	0	452	450	100	10	100			
PID_out	1002	63,6	0	452	450	100	10	100			
PID_out	1003	63,7	0	452	450	100	10	100			
PID_out	1004	63,8	0	452	450	100	10	100			
PID_out	1005	63,9	0	452	450	100	10	100			
PID_out	1006	64	-1	452	450	100	10	100			
PID_out	1007	64,1	-1	452	450	100	10	100			
PID_out	1008	64,2	-1	452	450	100	10	100			
PID_out	1009	64,3	-1	452	450	100	10	100			
PID_out	1010	64,4	-1	452	450	100	10	100			
PID_out	1011	64,5	-1	452	450	100	10	100			
PID_out	1012	64,6	0	451	450	100	10	100			
PID_out	1013	64,7	0	451	450	100	10	100			
PID_out	1014	64,8	0	451	450	100	10	100			
PID_out	1015	64,9	0	451	450	100	10	100			
PID_out	1016	65	0	451	450	100	10	100			
PID_out	1017	65,1	0	451	450	100	10	100			
PID_out	1018	65,2	0	451	450	100	10	100			
PID_out	1019	65,3	0	451	450	100	10	100			
PID_out	1020	65,4	0	451	450	100	10	100			
PID_out	1021	65,5	0	451	450	100	10	100			
PID_out	1022	65,6	0	451	450	100	10	100			
PID_out	1023	65,7	0	451	450	100	10	100			
PID_out	1024	65,8	0	451	450	100	10	100			
PID_out	1025	65,9	0	451	450	100	10	100			
PID_out	1026	66	0	451	450	100	10	100			
PID_out	1027	66,1	0	451	450	100	10	100			
PID_out	1028	66,2	0	451	450	100	10	100			
PID_out	1029	66,3	0	451	450	100	10	100			
PID_out	1030	66,4	-1	451	450	100	10	100			
PID_out	1031	66,5	-1	451	450	100	10	100			
PID_out	1032	66,6	-1	451	450	100	10	100			
PID_out	1033	66,7	-1	451	450	100	10	100			
PID_out	1034	66,8	-1	451	450	100	10	100			
PID_out	1035	66,9	0	450	450	100	10	100			
PID_out	1036	67	0	450	450	100	10	100			
PID_out	1037	67,1	0	450	450	100	10	100			
PID_out	1038	67,2	0	450	450	100	10	100			
PID_out	1039	67,3	0	450	450	100	10	100			
PID_out	1040	67,4	0	450	450	100	10	100			
PID_out	1041	67,5	0	450	450	100	10	100			
PID_out	1042	67,6	0	450	450	100	10	100			
PID_out	1043	67,7	0	450	450	100	10	100			
PID_out	1044	67,8	0	450	450	100	10	100			
PID_out	1045	67,9	0	450	450	100	10	100			
PID_out	1046	68	0	450	450	100	10	100			
